id,question,unit,topic,difficulty,type,keywords,answer,marks
27,What is the capital of Japan?,Unit 4,geography,easy,text,"geography,capitals,japan",Tokyo,2
28,Explain mitosis and its stages,Unit 2,biology,medium,essay,"biology,cell division,mitosis","Mitosis is cell division producing two identical diploid cells. Stages: Prophase (chromosomes condense), Metaphase (chromosomes align), Anaphase (chromosomes separate), Telophase (nuclear membranes reform).",16
29,What is Newton's law of gravity?,Unit 2,physics,medium,text,"physics,gravity,newton",Objects attract each other with a force proportional to their masses and inversely proportional to the square of the distance between them,2
30,What is JavaScript?,Unit 3,programming,easy,text,"programming,web development,javascript",A programming language commonly used for web development,2
31,Explain the periodic table organization,Unit 2,chemistry,medium,essay,"chemistry,periodic table,elements","The periodic table arranges elements by atomic number in periods (rows) and groups (columns). Elements in the same group have similar properties due to identical valence electron configurations.",16
32,Who was the first person on the moon?,Unit 4,history,medium,text,"history,space,moon landing",Neil Armstrong,2
33,What is a sonnet?,Unit 4,literature,medium,text,"literature,poetry,sonnet",A 14-line poem with a specific rhyme scheme,2
34,Prove the Pythagorean theorem,Unit 1,mathematics,hard,essay,"mathematics,geometry,pythagorean theorem","The Pythagorean theorem states a² + b² = c² for right triangles. Proof: Consider a square with side (a+b) containing four right triangles and an inner square with side c.",16
35,What is DNA?,Unit 2,biology,medium,text,"biology,genetics,dna",Deoxyribonucleic acid - carries genetic information,2
36,Describe the Renaissance period,Unit 4,history,medium,essay,"history,renaissance,culture","The Renaissance (14th-17th centuries) was a period of cultural rebirth in Europe featuring renewed interest in classical learning, art, science, and humanism. Key figures include Leonardo da Vinci, Michelangelo, and Galileo.",16
37,What is an algorithm?,Unit 3,programming,medium,text,"programming,algorithms,computer science",A step-by-step procedure for solving a problem,2
38,Explain evolution by natural selection,Unit 2,biology,hard,essay,"biology,evolution,darwin","Evolution is the process by which species change over time through natural selection. Organisms with favorable traits survive and reproduce more successfully, passing these traits to offspring.",16
39,Describe quantum mechanics principles,Unit 2,physics,hard,essay,"physics,quantum,mechanics","Quantum mechanics describes atomic and subatomic particle behavior. Key principles include wave-particle duality, uncertainty principle, and quantized energy levels. It revolutionized our understanding of matter and energy.",16
40,What is the Great Wall of China?,Unit 4,history,easy,text,"history,china,architecture",A fortification built across northern China,2
41,Explain machine learning and its applications,Unit 3,programming,hard,essay,"programming,AI,machine learning","Machine learning is a subset of AI enabling computers to learn without explicit programming. Applications include image recognition, natural language processing, recommendation systems, and predictive analytics.",16
42,Describe the photosynthesis equation and process,Unit 2,biology,hard,essay,"biology,photosynthesis,equation","6CO2 + 6H2O + light energy → C6H12O6 + 6O2. Light-dependent reactions occur in thylakoids producing ATP and NADPH. Calvin cycle in stroma uses these to fix CO2 into glucose.",16
43,Explain Einstein's theory of relativity,Unit 2,physics,hard,essay,"physics,relativity,einstein","Einstein's relativity includes special relativity (space-time relationship, E=mc²) and general relativity (gravity as space-time curvature). It revolutionized physics and our understanding of the universe.",16
44,Analyze the Industrial Revolution impact,Unit 4,history,hard,essay,"history,industrial revolution,technology","The Industrial Revolution (18th-19th centuries) transformed society through mechanization, urbanization, and new transportation. It brought economic growth but also social challenges like poor working conditions.",16
45,Explain database design principles,Unit 3,programming,medium,essay,"programming,database,design","Database design involves normalization to reduce redundancy, establishing relationships between tables, defining primary and foreign keys, and ensuring data integrity through constraints.",16
46,What is global warming?,Unit 2,science,medium,text,"science,climate,environment",The long-term increase in Earth's average surface temperature,2
47,What is the Constitution?,Unit 4,politics,medium,text,"politics,law,constitution",The supreme law of a country outlining government structure and rights,2
48,Describe the water cycle,Unit 2,science,easy,essay,"science,water,cycle","The continuous movement of water through evaporation from surfaces, condensation in clouds, and precipitation back to Earth. Includes transpiration from plants and groundwater flow.",16
49,What is a relational database?,Unit 3,programming,medium,text,"programming,database,data",An organized collection of structured information stored in tables with relationships,2
50,Explain the immune system function,Unit 2,biology,medium,essay,"biology,immune system,health","The immune system defends against pathogens through innate immunity (barriers, white blood cells) and adaptive immunity (antibodies, T-cells). It provides memory for faster future responses.",16
